"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Image loaded:
RuleName: technique_id=T1055,technique_name=Process Injection
UtcTime: 2026-06-22 05:34:11.119
ProcessGuid: {2b85bada-c952-6a38-f205-000000000b00}
ProcessId: 3488
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ImageLoaded: C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscoreei.dll
FileVersion: 4.8.9221.0 built by: NET481REL1LAST_25H2
Description: Microsoft .NET Runtime Execution Engine
Product: Microsoft? .NET Framework
Company: Microsoft Corporation
OriginalFileName: mscoreei.dll
Hashes: SHA1=31418E7F22DCAE61E9BF4D5159F190589510263A,MD5=1A45E030D20C805BD72525A8F16507F7,SHA256=D6279FF94F98EFFD9579A31A2C1FA2DA7997F066D2F62097D2A381D83DFB9B53,IMPHASH=BDAAD270BEE58C9A3A7622CD1CA3EF79
Signed: true
Signature: Microsoft Corporation
SignatureStatus: Valid
User: WINDOWS11\vboxuser","7","3",,"4","7","0","-9223372036854775808","10333","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:11 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Image loaded:
RuleName: -
UtcTime: 2026-06-22 05:34:10.871
ProcessGuid: {2b85bada-c952-6a38-f205-000000000b00}
ProcessId: 3488
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ImageLoaded: C:\Windows\System32\urlmon.dll
FileVersion: 11.00.26100.8521 (WinBuild.160101.0800)
Description: OLE32 Extensions for Win32
Product: Internet Explorer
Company: Microsoft Corporation
OriginalFileName: UrlMon.dll
Hashes: SHA1=C372D49FBB4B3781425947DD8FAA78F1D371AD0F,MD5=A2E38840529D69EB410B14E0FE5B1E3A,SHA256=789750C7ED748155C0AD2CCDEB33BA231F5E3183901E88E042B39FE1E9C5E958,IMPHASH=CC6BE0BF5B54B1D4708DF5B8900604F7
Signed: true
Signature: Microsoft Windows
SignatureStatus: Valid
User: WINDOWS11\vboxuser","7","3",,"4","7","0","-9223372036854775808","10332","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:10 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Image loaded:
RuleName: technique_id=T1055,technique_name=Process Injection
UtcTime: 2026-06-22 05:34:10.736
ProcessGuid: {2b85bada-c952-6a38-f205-000000000b00}
ProcessId: 3488
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ImageLoaded: C:\Windows\System32\mscoree.dll
FileVersion: 10.0.26100.3624 (WinBuild.160101.0800)
Description: Microsoft .NET Runtime Execution Engine
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: mscoree.dll
Hashes: SHA1=832627F610A3900FA9B0DB77CFF27168DB836A6A,MD5=1DC1B5FC0E47414580644B07C30F0E3D,SHA256=07F1EA065C452D37DA2AD56CE505184E41947C42A560D8235276E0FB8B758701,IMPHASH=CDE7B90B871501A5DFCA7B3AB565C6A1
Signed: true
Signature: Microsoft Windows
SignatureStatus: Valid
User: WINDOWS11\vboxuser","7","3",,"4","7","0","-9223372036854775808","10331","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:10 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Image loaded:
RuleName: -
UtcTime: 2026-06-22 05:34:10.421
ProcessGuid: {2b85bada-c952-6a38-f305-000000000b00}
ProcessId: 4048
Image: C:\Windows\System32\conhost.exe
ImageLoaded: C:\Windows\System32\urlmon.dll
FileVersion: 11.00.26100.8521 (WinBuild.160101.0800)
Description: OLE32 Extensions for Win32
Product: Internet Explorer
Company: Microsoft Corporation
OriginalFileName: UrlMon.dll
Hashes: SHA1=C372D49FBB4B3781425947DD8FAA78F1D371AD0F,MD5=A2E38840529D69EB410B14E0FE5B1E3A,SHA256=789750C7ED748155C0AD2CCDEB33BA231F5E3183901E88E042B39FE1E9C5E958,IMPHASH=CC6BE0BF5B54B1D4708DF5B8900604F7
Signed: true
Signature: Microsoft Windows
SignatureStatus: Valid
User: WINDOWS11\vboxuser","7","3",,"4","7","0","-9223372036854775808","10330","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4328","Windows11","S-1-5-18","6/22/2026 1:34:10 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2026-06-22 05:34:10.169
ProcessGuid: {2b85bada-c952-6a38-f205-000000000b00}
ProcessId: 3488
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3931421473-148499878-826545620-1000\\Device\HarddiskVolume4\Windows\System32\conhost.exe
Details: Binary Data
User: WINDOWS11\vboxuser","13","2",,"4","13","0","-9223372036854775808","10329","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:10 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process Create:
RuleName: technique_id=T1204,technique_name=User Execution
UtcTime: 2026-06-22 05:34:10.125
ProcessGuid: {2b85bada-c952-6a38-f205-000000000b00}
ProcessId: 3488
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.26100.5074 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
CurrentDirectory: C:\WINDOWS\system32\
User: WINDOWS11\vboxuser
LogonGuid: {2b85bada-fa92-6a37-17f7-060000000000}
LogonId: 0x6F717
TerminalSessionId: 1
IntegrityLevel: High
Hashes: SHA1=EB42621654E02FAF2DE940442B6DEB1A77864E5B,MD5=A97E6573B97B44C96122BFA543A82EA1,SHA256=0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46,IMPHASH=AFACF6DC9041114B198160AAB4D0AE77
ParentProcessGuid: {2b85bada-fa97-6a37-8100-000000000b00}
ParentProcessId: 5948
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\WINDOWS\Explorer.EXE
ParentUser: WINDOWS11\vboxuser","1","5",,"4","1","0","-9223372036854775808","10328","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:10 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2026-06-22 05:34:10.132
ProcessGuid: {2b85bada-fa99-6a37-8700-000000000b00}
ProcessId: 5596
Image: C:\WINDOWS\system32\svchost.exe
TargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3931421473-148499878-826545620-1000\\Device\HarddiskVolume4\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Details: Binary Data
User: NT AUTHORITY\SYSTEM","13","2",,"4","13","0","-9223372036854775808","10327","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:10 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Registry value set:
RuleName: -
EventType: SetValue
UtcTime: 2026-06-22 05:34:10.036
ProcessGuid: {2b85bada-c94d-6a38-ef05-000000000b00}
ProcessId: 2480
Image: C:\WINDOWS\system32\consent.exe
TargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-18\\Device\HarddiskVolume4\Windows\System32\consent.exe
Details: Binary Data
User: NT AUTHORITY\SYSTEM","13","2",,"4","13","0","-9223372036854775808","10326","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:10 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Image loaded:
RuleName: -
UtcTime: 2026-06-22 05:34:06.292
ProcessGuid: {2b85bada-c94d-6a38-ef05-000000000b00}
ProcessId: 2480
Image: C:\Windows\System32\consent.exe
ImageLoaded: C:\Windows\System32\urlmon.dll
FileVersion: 11.00.26100.8521 (WinBuild.160101.0800)
Description: OLE32 Extensions for Win32
Product: Internet Explorer
Company: Microsoft Corporation
OriginalFileName: UrlMon.dll
Hashes: SHA1=C372D49FBB4B3781425947DD8FAA78F1D371AD0F,MD5=A2E38840529D69EB410B14E0FE5B1E3A,SHA256=789750C7ED748155C0AD2CCDEB33BA231F5E3183901E88E042B39FE1E9C5E958,IMPHASH=CC6BE0BF5B54B1D4708DF5B8900604F7
Signed: true
Signature: Microsoft Windows
SignatureStatus: Valid
User: NT AUTHORITY\SYSTEM","7","3",,"4","7","0","-9223372036854775808","10325","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:06 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Image loaded:
RuleName: technique_id=T1059.001,technique_name=PowerShell
UtcTime: 2026-06-22 05:34:06.062
ProcessGuid: {2b85bada-c94d-6a38-ef05-000000000b00}
ProcessId: 2480
Image: C:\Windows\System32\consent.exe
ImageLoaded: C:\Windows\System32\amsi.dll
FileVersion: 10.0.26100.7309 (WinBuild.160101.0800)
Description: Anti-Malware Scan Interface
Product: Microsoft? Windows? Operating System
Company: Microsoft Corporation
OriginalFileName: amsi.dll
Hashes: SHA1=4C6F8D7A04EE5A9177475708929C71863BCB3F54,MD5=C197ACDDB6CCFAFBA5E9446722403DDD,SHA256=9DF7AD9E6826AB76294A91BEF274696EE13D18A8CEBABCD5C4C352A3D1141DF3,IMPHASH=2113D3CE4C8FBF73EBAC7ABC70D78752
Signed: true
Signature: Microsoft Windows
SignatureStatus: Valid
User: NT AUTHORITY\SYSTEM","7","3",,"4","7","0","-9223372036854775808","10324","Microsoft-Windows-Sysmon","5770385f-c22a-43e0-bf4c-06f5698ffbd9","Microsoft-Windows-Sysmon/Operational","3832","4316","Windows11","S-1-5-18","6/22/2026 1:34:06 AM",,,"Microsoft-Windows-Sysmon/Operational","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Image loaded (rule: ImageLoad)","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
